PID,SSN,Depth,C,N,P,K,S,Ca,Mg
MZ-EtVr7i,icr049477,10,4755,328,9.7,58.0,4.2,586.0,70.7
MZ-EtVr7i,icr049478,35,2264,162,4.4,36.7,3.4,351.0,52.2
MZ-F5gqZU,icr049257,10,4112,298,9.6,30.6,,445.0,53.7
MZ-F5gqZU,icr049258,35,1269,101,2.8,23.5,,197.0,27.5
MZ-F8vNHL,icr050154,10,20196,1447,181.0,247.0,8.2,3590.0,428.0
MZ-F8vNHL,icr050155,35,17441,1032,78.3,124.0,6.0,3620.0,542.0
MZ-fVcPXH,icr023293,10,9601,542,22.9,123.0,9.0,435.0,182.0
MZ-fVcPXH,icr023294,35,3250,185,2.5,157.0,8.0,262.0,160.0
MZ-FVo5Qg,icr049596,10,4534,326,7.3,21.5,6.7,480.0,105.0
MZ-FVo5Qg,icr049597,35,1311,104,20.2,20.8,4.5,580.0,146.0
MZ-GBHQoe,icr023213,10,8127,451,19.4,156.0,8.0,644.0,186.0
MZ-GBHQoe,icr023214,35,3645,238,4.8,186.0,6.0,551.0,193.0
MZ-gFWRRc,icr050314,10,3943,198,10.2,54.6,3.3,348.0,70.5
MZ-gFWRRc,icr050315,35,2121,125,4.5,18.0,4.7,164.0,35.7
MZ-GzQ2dl,icr049337,10,4737,305,17.7,51.3,5.9,270.0,43.7
MZ-GzQ2dl,icr049338,35,3375,218,9.1,25.9,4.6,212.0,32.8
MZ-H4ce0D,icr050114,10,2407,144,30.5,35.4,9.8,109.0,37.0
MZ-H4ce0D,icr050115,35,1192,89,25.0,23.4,6.9,113.0,39.3
MZ-Hjc4f1,icr023731,10,6354,466,7.7,65.0,5.0,453.0,79.0
MZ-Hjc4f1,icr023732,35,3325,306,3.9,53.0,4.0,302.0,64.0
MZ-hL6Mvr,icr050074,10,3398,270,11.9,42.5,9.6,91.5,44.2
MZ-hL6Mvr,icr050075,35,2613,199,9.5,53.0,6.7,85.0,34.3
MZ-iabTqX,icr023453,10,5817,421,11.7,127.0,6.0,1057.0,405.0
MZ-iabTqX,icr023454,35,5940,442,7.9,90.0,6.0,884.0,665.0
MZ-iUkpou,icr023116,10,7152,346,33.9,77.0,6.0,556.0,104.0
MZ-iUkpou,icr023117,35,3194,174,8.0,59.0,5.0,302.0,83.0
MZ-j9wm1V,icr023393,10,5498,293,8.8,107.0,7.0,424.0,187.0
MZ-j9wm1V,icr023394,35,3491,202,2.9,176.0,8.0,325.0,151.0
MZ-JSzQ5V,icr049437,10,3034,191,2.8,14.1,6.0,125.0,31.1
MZ-JSzQ5V,icr049438,35,1267,83,1.6,1.3,5.8,59.7,16.3
MZ-K0exF1,icr049695,10,7141,537,125.0,66.7,6.8,152.0,48.7
MZ-K0exF1,icr049696,35,5002,381,82.2,31.8,5.7,130.0,35.0
MZ-khf7Kv,icr023313,10,12888,640,15.5,164.0,9.0,610.0,177.0
MZ-khf7Kv,icr023314,35,6813,337,4.0,119.0,6.0,556.0,150.0
MZ-KlP8MN,icr023353,10,8153,409,39.9,107.0,7.0,500.0,123.0
MZ-KlP8MN,icr023354,35,3962,290,17.2,166.0,7.0,291.0,126.0
MZ-kqVDtQ,icr049855,10,6188,395,5.1,152.0,5.3,329.0,664.0
MZ-kqVDtQ,icr049856,35,2252,170,4.7,308.0,19.8,281.0,637.0
MZ-Kt25RS,icr049675,10,3083,250,1.5,64.7,4.9,449.0,162.0
MZ-Kt25RS,icr049676,35,2489,216,3.1,45.1,3.7,692.0,276.0
MZ-kxRZCh,icr050134,10,21535,1212,33.6,128.0,7.0,3670.0,1000.0
MZ-kxRZCh,icr050135,35,10262,567,6.7,71.5,5.1,2640.0,925.0
MZ-LaktFv,icr050354,10,10802,623,5.4,54.9,5.3,1570.0,201.0
MZ-LaktFv,icr050355,35,5092,330,1.0,18.4,5.4,1270.0,143.0
MZ-lb21CX,icr049934,10,3471,180,8.0,15.4,7.1,81.0,26.2
MZ-lb21CX,icr049935,35,1582,77,5.0,15.1,4.1,36.2,13.6
MZ-LeYpT5,icr023373,10,16733,876,126.0,153.0,8.0,1416.0,254.0
MZ-LeYpT5,icr023374,35,6497,384,23.9,117.0,8.0,844.0,261.0
MZ-lhMgN1,icr023652,10,15455,1133,24.7,85.0,8.0,1453.0,276.0
MZ-lhMgN1,icr023653,35,8540,647,9.5,44.0,7.0,828.0,240.0
MZ-LppAxB,icr050194,10,6680,448,12.9,91.5,4.8,584.0,139.0
MZ-LppAxB,icr050195,35,4923,330,3.9,63.5,4.7,406.0,165.0
MZ-lT1cQ1,icr023533,10,5051,298,12.2,27.0,3.0,393.0,83.0
MZ-lT1cQ1,icr023534,35,2740,205,7.0,30.0,3.0,261.0,67.0
MZ-MMRajq,icr050414,10,6013,372,4.5,100.0,4.1,378.0,80.7
MZ-MMRajq,icr050415,35,2786,220,1.9,60.6,4.8,251.0,67.0
MZ-mWSQpQ,icr049457,10,7108,484,11.0,52.4,12.2,702.0,82.3
MZ-mWSQpQ,icr049458,35,2376,214,3.5,53.3,5.0,377.0,62.2
MZ-o9HXkz,icr023513,10,3165,172,16.7,48.0,4.0,855.0,75.0
MZ-o9HXkz,icr023514,35,4858,293,28.5,59.0,5.0,1473.0,99.0
MZ-OMm2yG,icr049635,10,4917,333,28.3,57.5,5.1,1040.0,199.0
MZ-OMm2yG,icr049636,35,3203,251,19.7,38.0,3.1,937.0,129.0
MZ-OOzwLV,icr023413,10,7580,503,114.7,225.0,8.0,782.0,252.0
MZ-OOzwLV,icr023414,35,4885,320,93.7,257.0,7.0,703.0,225.0
MZ-qCtfrC,icr049177,10,7673,578,84.2,121.0,14.2,2220.0,131.0
MZ-qCtfrC,icr049178,35,3710,312,47.2,84.9,5.7,1960.0,59.9
MZ-QUI0cl,icr049217,10,4114,265,7.0,50.0,2.7,238.0,52.3
MZ-QUI0cl,icr049218,35,1841,109,2.9,34.2,2.0,120.0,25.5
MZ-qWt5Ip,icr023175,10,16917,834,34.4,140.0,8.0,821.0,189.0
MZ-qWt5Ip,icr023176,35,7230,406,3.7,136.0,6.0,490.0,185.0
MZ-qXQSU6,icr023593,10,9378,595,11.0,135.0,6.0,1368.0,141.0
MZ-qXQSU6,icr023594,35,5395,352,6.2,111.0,5.0,1338.0,137.0
MZ-Qy6XZb,icr049974,10,3414,248,18.6,42.6,4.7,82.0,40.5
MZ-Qy6XZb,icr049975,35,1977,131,12.8,39.1,4.5,81.7,37.2
MZ-rFrALM,icr050214,10,4422,234,7.8,29.0,3.7,216.0,60.5
MZ-rFrALM,icr050215,35,3000,200,4.4,19.3,5.5,136.0,81.2
MZ-rHmRDD,icr050174,10,22816,1250,7.6,136.0,6.3,2740.0,668.0
MZ-rHmRDD,icr050175,35,14804,807,3.0,76.7,5.5,2460.0,782.0
MZ-RxXhtF,icr049914,10,4069,264,19.3,42.0,4.7,139.0,45.7
MZ-RxXhtF,icr049915,35,1298,61,12.1,33.4,3.9,66.7,28.7
MZ-RyfPQe,icr023233,10,6788,344,7.7,127.0,7.0,292.0,128.0
MZ-RyfPQe,icr023234,35,3103,201,2.2,156.0,6.0,259.0,145.0
MZ-S7JVZP,icr023333,10,9583,574,40.2,193.0,7.0,481.0,176.0
MZ-S7JVZP,icr023334,35,5277,330,14.0,200.0,7.0,443.0,183.0
MZ-SUIM2U,icr049875,10,5759,314,9.5,17.3,2.9,334.0,54.3
MZ-SUIM2U,icr049876,35,995,42,5.3,13.5,6.5,68.5,18.9
MZ-SwDtHq,icr049994,10,2948,174,15.3,28.6,1.5,83.5,29.9
MZ-SwDtHq,icr049995,35,923,42,8.2,23.9,0.6,73.7,27.4
MZ-t3ysfP,icr049317,10,5784,375,7.7,49.0,3.6,392.0,73.7
MZ-t3ysfP,icr049318,35,1703,139,3.2,39.1,3.1,140.0,31.6
MZ-TpiyBT,icr023253,10,24601,1990,26.9,191.0,18.0,549.0,111.0
MZ-TpiyBT,icr023254,35,7387,547,10.7,53.0,7.0,335.0,87.0
MZ-TQAA3t,icr050374,10,5672,379,4.9,55.6,4.1,588.0,120.0
MZ-TQAA3t,icr050375,35,5056,371,3.1,26.2,5.0,593.0,153.0
MZ-UcIwoZ,icr049835,10,3313,167,33.9,20.3,3.0,169.0,41.6
MZ-UcIwoZ,icr049836,35,1044,87,39.5,19.0,3.8,132.0,39.4
MZ-V0PwE0,icr049616,10,2780,224,1.4,20.2,4.0,595.0,161.0
MZ-V0PwE0,icr049617,35,1367,104,3.4,20.8,4.1,950.0,325.0
MZ-v4PIdt,icr023155,10,9969,491,18.4,107.0,8.0,478.0,131.0
MZ-v4PIdt,icr023156,35,3517,196,3.7,130.0,7.0,320.0,125.0
MZ-vsdhfl,icr049297,10,5769,417,6.3,55.7,2.6,342.0,68.4
MZ-vsdhfl,icr049298,35,2774,214,4.0,42.6,4.3,178.0,33.8
MZ-W8U0JE,icr049237,10,8351,547,6.8,75.5,5.1,350.0,77.2
MZ-W8U0JE,icr049238,35,3723,286,3.3,50.5,4.6,175.0,48.5
MZ-WC6q1W,icr049755,10,50757,3427,11.4,1770.0,3940.0,1210.0,3130.0
MZ-WC6q1W,icr049756,35,12078,681,16.9,1530.0,1270.0,809.0,2070.0
MZ-wdGJDY,icr050294,10,16612,940,8.8,62.5,6.4,1810.0,476.0
MZ-wdGJDY,icr050295,35,11828,612,0.6,50.2,4.6,2010.0,555.0
MZ-x7NdrZ,icr049576,10,6849,542,64.0,76.9,8.9,270.0,65.5
MZ-x7NdrZ,icr049577,35,4190,341,23.0,34.4,12.9,106.0,32.7
MZ-Xt2HRt,icr049795,10,3981,315,19.6,33.4,7.3,269.0,57.8
MZ-Xt2HRt,icr049796,35,1833,136,15.6,15.9,4.9,290.0,71.6
MZ-xWvOxY,icr049357,10,4974,338,9.6,33.8,6.4,248.0,48.9
MZ-xWvOxY,icr049358,35,2068,192,5.1,18.3,3.6,112.0,24.4
MZ-y4GeAw,icr049775,10,5305,443,16.8,84.1,6.7,470.0,152.0
MZ-y4GeAw,icr049776,35,1432,157,14.3,72.1,4.2,415.0,217.0
MZ-yeHr7A,icr049735,10,22859,1369,20.1,1440.0,1600.0,1100.0,2250.0
MZ-yeHr7A,icr049736,35,14620,1120,28.2,1240.0,1070.0,931.0,1960.0
MZ-YfTV8N,icr050334,10,1963,117,6.6,23.1,2.2,153.0,27.2
MZ-YfTV8N,icr050335,35,4216,205,8.5,31.2,2.8,415.0,74.0
MZ-Yhc432,icr050014,10,3119,191,20.0,37.2,2.2,139.0,58.1
MZ-Yhc432,icr050015,35,1379,75,20.4,55.0,6.9,136.0,58.2
MZ-yTlsVf,icr023712,10,65783,4554,35.8,100.0,20.0,574.0,84.0
MZ-yTlsVf,icr023713,35,45958,2837,28.4,93.0,20.0,364.0,62.0
MZ-yxn42y,icr023493,10,6818,510,13.3,112.0,7.0,487.0,120.0
MZ-yxn42y,icr023494,35,3583,262,6.9,188.0,7.0,266.0,77.0
MZ-Z7PcE7,icr023672,10,5340,396,38.5,186.0,6.0,918.0,139.0
MZ-Z7PcE7,icr023673,35,3488,301,7.4,187.0,6.0,635.0,98.0
MZ-zmSbuM,icr049894,10,4777,307,9.1,61.8,7.3,226.0,80.1
MZ-zmSbuM,icr049895,35,2088,121,6.5,35.8,4.7,111.0,46.1
NE-2GbjDQ,icr068239,10,2465,198,4.7,40.7,13.3,227.0,65.9
NE-2GbjDQ,icr068240,35,2591,203,2.9,35.1,12.6,310.0,118.0
NE-CvKnS1,icr068361,10,2933,234,7.4,43.2,11.9,201.0,67.0
NE-CvKnS1,icr068362,35,3014,220,3.7,29.8,21.5,174.0,65.5
NE-DMqfdO,icr068265,10,2100,165,5.8,31.5,8.4,116.0,32.1
NE-DMqfdO,icr068266,35,1620,126,4.2,25.3,10.5,76.0,21.1
NE-f0xuuN,icr068399,10,4231,308,6.5,45.2,11.5,187.0,75.0
NE-f0xuuN,icr068400,35,3082,212,2.8,31.3,14.1,204.0,75.7
NE-h0JYfF,icr068199,10,1359,270,3.8,99.2,10.5,612.0,133.0
NE-h0JYfF,icr068200,35,1560,198,2.5,75.2,7.4,345.0,83.0
NE-kAkam4,icr068321,10,5234,430,17.8,91.2,28.0,316.0,153.0
NE-kAkam4,icr068322,35,5275,450,11.5,72.5,25.1,332.0,169.0
NE-kc7Z4r,icr068221,10,1682,139,3.9,59.1,7.7,103.0,31.6
NE-kc7Z4r,icr068222,35,1013,90,2.5,47.2,4.7,99.0,30.6
NE-m2rZCI,icr068181,10,2712,232,9.0,227.0,7.8,374.0,150.0
NE-m2rZCI,icr068182,35,2053,183,6.0,342.0,8.8,298.0,115.0
NE-OaXNkO,icr068279,10,3172,240,5.5,30.1,7.5,121.0,37.6
NE-OaXNkO,icr068280,35,3697,261,7.2,31.3,5.6,135.0,39.2
NE-T7YXaz,icr068339,10,1832,133,7.0,24.5,7.1,101.0,31.8
NE-T7YXaz,icr068340,35,1694,112,5.1,31.6,10.6,75.7,23.1
NE-ti5810,icr068101,10,853,166,2.5,36.7,37.2,289.0,110.0
NE-ti5810,icr068102,35,716,147,1.5,29.3,22.0,276.0,103.0
NE-tNoTTn,icr068149,10,1476,84,5.0,48.3,6.0,91.2,30.3
NE-tNoTTn,icr068150,35,1020,92,3.4,63.3,7.2,91.5,35.0
NE-WhbnXT,icr068301,10,3378,268,8.0,48.5,20.6,112.0,43.6
NE-WhbnXT,icr068302,35,3116,176,4.5,34.7,18.8,91.2,41.1
NE-xlVEU2,icr068161,10,3344,251,7.7,47.8,8.2,145.0,42.8
NE-xlVEU2,icr068162,35,3286,236,5.6,30.3,9.3,142.0,57.2
NE-zg4lx3,icr068381,10,2381,175,7.0,24.1,17.8,110.0,40.5
NE-zg4lx3,icr068382,35,2282,158,7.7,25.1,19.1,116.0,37.0
NE-ZXQp9c,icr068131,10,1520,104,5.3,121.0,7.5,126.0,43.1
NE-ZXQp9c,icr068132,35,1137,109,2.5,75.7,7.3,113.0,36.3
NG-15ZHvd,icr034773,10,14193,957,7.6,36.9,13.6,235.3,57.5
NG-15ZHvd,icr034774,35,19053,1524,4.8,53.0,15.7,526.5,98.6
NG-1hegv3,icr034030,10,6582,317,5.2,50.6,5.6,648.8,138.5
NG-1hegv3,icr034031,35,2306,129,4.3,26.0,3.8,220.7,48.9
NG-5MFjjc,icr070164,10,7571,422,10.6,47.2,5.3,627.0,104.0
NG-5MFjjc,icr070165,35,4713,220,9.3,49.7,5.0,444.0,68.5
NG-7c5mGw,icr034501,10,8025,496,18.3,89.1,4.1,864.1,125.9
NG-7c5mGw,icr034502,35,6139,371,10.3,94.4,4.2,678.5,118.7
NG-9HIyMY,icr034753,10,16359,1254,7.1,68.3,14.1,698.2,112.4
NG-9HIyMY,icr034754,35,9015,788,2.9,45.6,15.0,298.9,74.6
NG-9nvxOd,icr034322,10,5445,257,3.8,74.7,3.2,381.0,84.7
NG-9nvxOd,icr034323,35,4334,207,1.9,51.7,4.6,292.5,97.7
NG-9YHLtV,icr033930,10,4670,234,6.5,54.0,5.2,372.4,72.7
NG-9YHLtV,icr033931,35,2650,152,3.8,94.1,6.2,331.7,73.9
NG-a4HXm4,icr070112,10,12687,743,2.1,28.6,8.3,171.0,39.2
NG-a4HXm4,icr070113,35,9188,474,0.9,17.8,6.4,96.7,23.3
NG-AGTJxV,icr034893,10,17173,1572,11.6,73.9,17.9,497.7,86.8
NG-AGTJxV,icr034894,35,8936,829,4.5,65.2,18.5,246.0,61.8
NG-Ako5Ff,icr033910,10,6645,383,6.6,78.4,6.4,490.9,97.9
NG-Ako5Ff,icr033911,35,2975,142,2.6,52.4,4.8,268.5,82.8
NG-bPAs9N,icr068559,10,3971,258,9.6,38.0,4.0,458.0,73.9
NG-bPAs9N,icr068560,35,2654,130,0.7,16.6,3.1,399.0,75.7
NG-cRmA5r,icr034422,10,4110,328,5.8,98.8,5.2,305.3,88.1
NG-cRmA5r,icr034423,35,3201,197,3.5,69.4,6.1,295.3,87.8
NG-cvCqAK,icr034170,10,5971,434,10.5,51.7,4.0,703.2,88.0
NG-cvCqAK,icr034171,35,3121,242,3.2,44.3,3.4,416.0,82.5
NG-cxzIhn,icr034010,10,6017,425,6.7,81.3,4.5,633.1,96.0
NG-cxzIhn,icr034011,35,2369,106,2.6,47.9,2.8,396.1,89.3
NG-D6sdzo,icr034833,10,27035,2534,13.2,146.3,21.3,1540.8,197.2
NG-D6sdzo,icr034834,35,17223,1365,5.4,98.1,20.5,1036.8,140.0
NG-db4sw2,icr034461,10,5083,307,14.0,43.7,2.9,422.5,94.2
NG-db4sw2,icr034462,35,2779,164,5.0,42.5,3.4,283.1,61.5
NG-dMZfRp,icr034110,10,4314,313,7.1,52.4,4.8,248.1,43.8
NG-dMZfRp,icr034111,35,2568,257,4.1,62.5,4.3,196.8,36.5
NG-dNe3H8,icr034693,10,24691,1835,7.8,90.5,18.8,593.6,76.2
NG-dNe3H8,icr034694,35,15358,1039,5.3,63.3,19.9,170.0,51.7
NG-dStlTc,icr034813,10,23845,2004,14.8,163.6,15.6,1264.8,194.2
NG-dStlTc,icr034814,35,16928,1478,9.6,221.6,15.6,1172.8,227.1
NG-EYlQGs,icr034070,10,7047,322,7.9,59.0,5.2,864.2,104.6
NG-EYlQGs,icr034071,35,3061,139,2.5,46.6,3.2,440.4,83.1
NG-eZU6j7,icr034190,10,5580,496,9.3,92.8,9.0,695.3,165.4
NG-eZU6j7,icr034191,35,5814,449,6.5,61.4,5.6,541.2,121.9
NG-FX3WRO,icr034613,10,19110,1923,5.6,57.4,13.3,546.5,97.0
NG-FX3WRO,icr034614,35,13914,1180,3.0,44.9,15.0,406.7,84.8
NG-fxD5Ec,icr034362,10,10109,659,21.0,132.7,5.7,1150.8,200.8
NG-fxD5Ec,icr034363,35,8086,523,4.8,171.8,5.3,761.5,161.7
NG-GwEo35,icr068521,10,4181,329,3.4,33.5,3.0,562.0,59.3
NG-GwEo35,icr068522,35,3395,195,1.5,37.7,1.6,654.0,61.8
NG-gwxNY5,icr034090,10,6087,273,10.0,43.3,4.4,622.8,87.6
NG-gwxNY5,icr034091,35,4364,306,5.5,42.9,4.3,508.8,81.7
NG-H4t7A4,icr070193,10,3846,188,3.0,43.1,4.4,112.0,42.8
NG-H4t7A4,icr070194,35,2529,211,1.8,32.7,4.3,75.9,22.3
NG-H5YFgI,icr034913,10,21724,1342,12.8,143.8,22.0,374.2,102.5
NG-H5YFgI,icr034914,35,14162,809,8.7,104.5,20.3,283.5,87.2
NG-HbtWpy,icr068499,10,8225,749,14.8,159.0,4.7,862.0,115.0
NG-HbtWpy,icr068500,35,2426,239,3.8,61.7,3.3,1030.0,94.2
NG-HEyRhl,icr034713,10,22660,1853,6.5,79.6,17.7,521.7,141.1
NG-HEyRhl,icr034714,35,14639,1077,2.3,48.2,18.3,262.7,81.9
NG-Hho7h4,icr070288,10,7557,388,63.1,46.7,5.0,861.0,107.0
NG-Hho7h4,icr070289,35,4344,167,33.3,23.8,3.6,538.0,78.9
NG-HIMGcR,icr068459,10,5106,355,6.1,188.0,4.6,921.0,173.0
NG-HIMGcR,icr068460,35,3136,222,7.8,416.0,6.3,1190.0,232.0
NG-hnHie8,icr034342,10,7916,421,9.5,74.3,5.0,618.9,125.7
NG-hnHie8,icr034343,35,4352,254,3.5,51.8,3.3,323.0,103.0
NG-hSISDo,icr068599,10,3930,263,4.5,100.0,4.5,647.0,100.0
NG-hSISDo,icr068600,35,2643,187,1.8,45.7,3.7,775.0,108.0
NG-i8xIXA,icr034561,10,4989,342,16.4,73.2,4.4,510.9,83.5
NG-i8xIXA,icr034562,35,3354,283,9.4,67.9,4.1,407.0,77.3
NG-j5IKTD,icr034793,10,34965,2884,11.4,97.9,17.4,1041.8,209.1
NG-j5IKTD,icr034794,35,28363,2156,5.3,89.7,19.0,968.8,136.4
NG-jqRAev,icr033990,10,7893,334,7.9,64.1,5.6,505.2,70.0
NG-jqRAev,icr033991,35,2972,169,3.9,39.5,3.8,325.4,47.4
NG-jzHigK,icr034282,10,6587,432,10.8,67.3,4.7,587.6,98.8
NG-jzHigK,icr034283,35,5058,340,5.2,29.8,3.5,471.4,84.1
NG-knYq3E,icr070276,10,4335,177,2.0,12.5,3.9,156.0,38.2
NG-knYq3E,icr070277,35,3210,152,0.7,10.0,4.2,161.0,66.5
NG-KRzQNr,icr034521,10,2456,177,0.7,51.0,4.7,731.0,169.7
NG-KRzQNr,icr034522,35,882,109,0.5,24.8,4.4,607.7,138.4
NG-l0aaCE,icr034210,10,6203,482,9.0,91.6,7.3,691.0,164.0
NG-l0aaCE,icr034211,35,3977,355,4.1,38.6,5.8,463.7,109.0
NG-l2wYmQ,icr070386,10,2174,112,2.5,28.8,3.4,162.0,54.8
NG-LOAByT,icr068419,10,5182,404,7.6,54.5,3.8,589.0,60.2
NG-LOAByT,icr068420,35,3396,293,2.1,38.2,4.0,765.0,76.0
NG-mBp8PR,icr034302,10,6219,411,18.5,196.5,6.2,754.3,124.3
NG-mBp8PR,icr034303,35,4652,305,7.0,86.2,3.3,478.5,104.8
NG-mhBrAr,icr068481,10,3176,199,2.5,24.1,2.8,763.0,85.7
NG-mhBrAr,icr068482,35,4673,362,3.4,29.6,3.7,676.0,88.0
NG-ml6Sen,icr034130,10,6410,481,6.4,44.5,4.8,691.0,109.5
NG-ml6Sen,icr034131,35,3069,281,2.9,31.8,3.3,386.4,85.5
NG-moZln1,icr034673,10,14924,1328,4.6,40.5,12.0,502.4,119.7
NG-moZln1,icr034674,35,8057,558,1.8,33.1,14.9,406.1,89.0
NG-mVEmqv,icr068717,10,7354,495,6.7,37.2,4.8,1370.0,114.0
NG-mVEmqv,icr068718,35,2258,158,10.4,29.3,3.5,2020.0,93.9
NG-nRSsIw,icr068539,10,8725,846,5.3,71.7,5.9,840.0,116.0
NG-nRSsIw,icr068540,35,4166,434,2.1,40.0,4.4,570.0,89.5
NG-O9XuHD,icr033950,10,11427,794,16.1,148.3,8.1,2681.9,306.4
NG-O9XuHD,icr033951,35,8557,529,6.6,129.5,6.6,1027.9,208.7
NG-orY81N,icr070202,10,4692,291,2.6,30.8,3.0,324.0,54.2
NG-orY81N,icr070203,35,2837,159,1.1,17.3,3.1,173.0,50.7
NG-pTvOR7,icr070370,10,7528,328,70.7,20.8,3.2,932.0,58.7
NG-pTvOR7,icr070371,35,4762,173,86.2,11.5,2.8,834.0,39.3
NG-pxwuA2,icr034733,10,16504,1212,9.0,38.0,9.5,930.8,128.8
NG-pxwuA2,icr034734,35,9515,669,2.4,38.4,13.6,773.4,88.7
NG-q2Jo1v,icr034382,10,4197,268,8.8,36.1,2.9,310.8,67.0
NG-q2Jo1v,icr034383,35,2297,164,5.1,31.1,3.2,198.7,55.6
NG-QdBxS0,icr068639,10,5332,360,2.9,110.0,4.4,785.0,127.0
NG-QdBxS0,icr068640,35,2342,160,1.9,163.0,3.8,738.0,110.0
NG-QJ7vEq,icr034402,10,8605,600,12.1,87.5,5.7,429.4,96.1
NG-QJ7vEq,icr034403,35,3008,225,5.2,44.9,3.7,251.1,70.4
NG-quWOsP,icr070328,10,2539,123,1.9,15.9,1.9,159.0,38.7
NG-quWOsP,icr070329,35,2037,90,1.0,17.3,3.3,169.0,56.5
NG-rEei3T,icr034541,10,5827,396,11.3,41.7,3.4,427.2,85.7
NG-rEei3T,icr034542,35,3369,248,6.0,30.3,2.7,277.5,59.8
NG-rLNAmH,icr033970,10,7404,326,5.2,69.2,5.4,694.8,162.1
NG-rLNAmH,icr033971,35,3968,202,2.8,52.1,5.8,520.2,150.7
NG-RPqgkK,icr034150,10,6468,465,7.1,46.0,4.2,789.1,88.5
NG-RPqgkK,icr034151,35,2539,200,2.7,29.2,3.6,356.8,53.1
NG-sAv5np,icr070262,10,3323,168,2.6,47.5,3.5,293.0,66.2
NG-sAv5np,icr070263,35,1806,108,1.1,39.0,3.4,194.0,60.6
NG-SqlnOf,icr034653,10,15444,1365,23.6,50.3,9.4,2093.8,182.7
NG-SqlnOf,icr034654,35,8938,701,7.9,37.2,9.0,888.8,116.2
NG-SwcqSy,icr068662,10,7504,398,9.6,64.7,4.0,1110.0,83.2
NG-SwcqSy,icr068663,35,4074,207,4.0,41.5,2.8,729.0,65.2
NG-tBgdfO,icr070348,10,3847,218,2.6,22.1,2.7,259.0,54.3
NG-tBgdfO,icr070349,35,2941,136,0.8,20.1,3.0,190.0,60.7
NG-TDzOyZ,icr070308,10,4818,208,2.8,18.1,4.1,245.0,54.3
NG-TDzOyZ,icr070309,35,2863,138,1.3,16.0,4.4,207.0,74.5
NG-ThsJZF,icr070246,10,2789,292,1.4,35.1,4.6,271.0,72.0
NG-ThsJZF,icr070247,35,5611,442,4.7,26.8,4.1,578.0,70.7
NG-U7FGAP,icr068677,10,6061,460,37.3,297.0,7.3,2920.0,152.0
NG-U7FGAP,icr068678,35,3472,260,13.4,167.0,5.8,1120.0,77.0
NG-uguWa1,icr070142,10,4363,198,3.4,22.8,4.2,291.0,62.6
NG-uguWa1,icr070143,35,2624,191,2.0,18.0,3.7,234.0,55.1
NG-umdSqh,icr068439,10,5680,433,15.1,61.8,3.4,636.0,81.7
NG-umdSqh,icr068440,35,3365,405,2.2,53.2,4.3,747.0,99.2
NG-W6ah4F,icr068697,10,5105,304,3.4,39.1,4.3,857.0,147.0
NG-W6ah4F,icr068698,35,4052,253,1.8,30.3,3.8,990.0,163.0
NG-WDVoU7,icr034481,10,2218,132,3.2,37.6,4.7,285.1,49.8
NG-WDVoU7,icr034482,35,3979,234,6.8,46.4,3.0,366.2,62.2
NG-WtWHph,icr034853,10,20533,1664,15.9,98.0,13.9,883.6,157.9
NG-WtWHph,icr034854,35,15092,1245,10.1,104.7,14.2,643.0,134.9
NG-Wym4z0,icr070124,10,12314,715,28.8,79.7,7.4,1440.0,189.0
NG-Wym4z0,icr070125,35,5878,308,6.8,39.2,4.1,793.0,133.0
NG-x2QqRX,icr034633,10,22244,1662,5.4,60.6,18.5,316.8,108.6
NG-x2QqRX,icr034634,35,15172,1115,2.3,39.2,17.6,197.7,65.7
NG-X8ETUm,icr068579,10,3887,239,2.0,71.4,4.7,641.0,114.0
NG-X8ETUm,icr068580,35,2920,209,1.1,113.0,6.6,666.0,125.0
NG-XOk2M5,icr034441,10,6066,402,5.2,79.1,4.8,557.5,107.5
NG-XOk2M5,icr034442,35,6076,337,2.6,66.4,6.4,460.2,100.7
NG-xsloh4,icr034050,10,7356,394,9.0,56.0,5.3,929.9,127.8
NG-xsloh4,icr034051,35,6564,309,6.0,64.6,4.8,880.6,133.0
NG-yEoJ0Q,icr068619,10,4931,369,5.7,117.0,5.0,920.0,166.0
NG-yJ5oWK,icr034262,10,9945,572,20.7,113.2,5.5,879.4,173.3
NG-yJ5oWK,icr034263,35,8485,525,10.1,91.0,6.5,624.3,139.6
NG-yVsJ7U,icr034873,10,28910,2638,10.2,84.2,22.1,422.8,127.1
NG-yVsJ7U,icr034874,35,29396,2508,6.1,89.2,18.5,632.9,130.7
TZ-060T2z,icr009978,10,16013,958,2.8,171.6,7.5,241.9,106.7
TZ-060T2z,icr009979,35,7481,407,0.6,135.0,5.0,133.3,102.2
TZ-0Ekfub,icr020970,10,9270,519,30.6,76.5,3.8,942.7,126.3
TZ-0Ekfub,icr020971,35,2518,184,15.9,44.0,2.3,406.6,51.9
TZ-0TzMPf,icr021063,10,3538,248,15.4,108.0,5.9,954.9,132.9
TZ-0TzMPf,icr021064,35,10154,788,3.9,61.3,4.1,418.2,69.9
TZ-1OElzh,icr010198,10,14524,858,4.0,91.8,5.3,261.8,76.5
TZ-1OElzh,icr010199,35,15620,900,4.5,96.7,6.6,279.9,80.3
TZ-29X5Ck,icr008007,10,16399,1048,145.0,376.9,10.9,1246.0,290.4
TZ-29X5Ck,icr008008,35,10876,616,109.2,274.6,11.4,734.3,222.5
